00BS               20151102                                                                                   
0601BSA0N       20160101002600100000050000 0000000000002564   
0601BSA0N       20160101002650100000050000 0000000000002581   
0601BSA0N       20160101002700100000050000 0000000000002599   
0601BSA0N       20160101002750100000050000 0000000000002614   
0601BSA0N       20160101002800100000050000 0000000000002629   
0601BSA0N       20160101002850100000050000 0000000000002645   
0601BSA0N       20160101002900100000050000 0000000000002659   
0601BSA0N       20160101002950100000050000 0000000000002672   
0601BSA0N       20160101003000100000050000 0000000000002686   
0601BSA0N       20160101003050100000050000 0000000000002699   
0601BSA0N       20160101003100100000050000 0000000000002711   
0601BSA0N       20160101003150100000050000 0000000000002723   
0601BSA0N       20160101003200100000050000 0000000000002736   
0601BSA0N       20160101003250100000050000 0000000000002747   
0601BSA0N       20160101003300100000050000 0000000000002757   
0601BSA0N       20160101003350100000050000 0000000000002769   
0601BSA0N       20160101003400100000050000 0000000000002779   
0601BSA0N       20160101003450100000050000 0000000000002789   
0601BSA0N       20160101003500100000050000 0000000000002799   
0601BSA0N       20160101003550100000050000 0000000000002809   
0601BSA0N       20160101003600100000050000 0000000000002818   
0601BSA0N       20160101003650100000050000 0000000000002827   
0601BSA0N       20160101003700100000050000 0000000000002836   
0601BSA0N       20160101003750100000050000 0000000000002844   
0601BSA0N       20160101003800100000050000 0000000000002853   
0601BSA0N       20160101003850100000050000 0000000000002861   
0601BSA0N       20160101003900100000050000 0000000000002869   
0601BSA0N       20160101003950100000050000 0000000000002877   
0601BSA0N       20160101004000100000050000 0000000000002884   
0601BSA0N       20160101004050100000050000 0000000000002891   
0601BSA0N       20160101004100100000050000 0000000000002899   
0601BSA0N       20160101004150100000050000 0000000000002906   
0601BSA0N       20160101004200100000050000 0000000000002912   
0601BSA0N       20160101004250100000050000 0000000000002919   
0601BSA0N       20160101004300100000050000 0000000000002926   
0601BSA0N       20160101004350100000050000 0000000000002932   
0601BSA0N       20160101004400100000050000 0000000000002939   
0601BSA0N       20160101004450100000050000 0000000000002944   
0601BSA0N       20160101004500100000050000 0000000000002950   
0601BSA0N       20160101004550100000050000 0000000000002957   
0601BSA0N       20160101004600100000050000 0000000000002962   
0601BSA0N       20160101004650100000050000 0000000000002967   
0601BSA0N       20160101004700100000050000 0000000000002973   
0601BSA0N       20160101004750100000050000 0000000000002978   
0601BSA0N       20160101004800100000050000 0000000000002983   
0601BSA0N       20160101004850100000050000 0000000000002989   
0601BSA0N       20160101004900100000050000 0000000000002994   
0601BSA0N       20160101004950100000050000 0000000000002999   
0601BSA0N       20160101005000100000050000 0000000000003004   
0601BSA0N       20160101005050100000050000 0000000000003008   
0601BSA0N       20160101005100100000050000 0000000000003013   
0601BSA0N       20160101005150100000050000 0000000000003017   
0601BSA0N       20160101005200100000050000 0000000000003022   
0601BSA0N       20160101005250100000050000 0000000000003026   
0601BSA0N       20160101005300100000050000 0000000000003030   
0601BSA0N       20160101005350100000050000 0000000000003035   
0601BSA0N       20160101005400100000050000 0000000000003039   
0601BSA0N       20160101005450100000050000 0000000000003043   
0601BSA0N       20160101005500100000050000 0000000000003047   
0601BSA0N       20160101005550100000050000 0000000000003051   
0601BSA0N       20160101005600100000050000 0000000000003054   
0601BSA0N       20160101005650100000050000 0000000000003059   
0601BSA0N       20160101005700100000050000 0000000000003062   
0601BSA0N       20160101005750100000050000 0000000000003066   
0601BSA0N       20160101005800100000050000 0000000000003070   
0601BSA0N       20160101005850100000050000 0000000000003073   
0601BSA0N       20160101005900100000050000 0000000000003076   
0601BSA0N       20160101005950100000050000 0000000000003080   
0601BSA0N       20160101006000100000050000 0000000000003083   
0601BSA0N       20160101006050100000050000 0000000000003086   
0601BSA0N       20160101006100100000050000 0000000000003090   
0601BSA0N       20160101006150100000050000 0000000000003093   
0601BSA0N       20160101006200100000050000 0000000000003096   
0601BSA0N       20160101006250100000050000 0000000000003099   
0601BSA0N       20160101006300100000050000 0000000000003102   
0601BSA0N       20160101006350100000050000 0000000000003105   
0601BSA0N       20160101006400100000050000 0000000000003108   
0601BSA0N       20160101006450100000050000 0000000000003111   
0601BSA0N       20160101006500100000050000 0000000000003114   
0601BSA0N       20160101006550100000050000 0000000000003117   
0601BSA0N       20160101006600100000050000 0000000000003120   
0601BSA0N       20160101006650100000050000 0000000000003122   
0601BSA0N       20160101006700100000050000 0000000000003125   
0601BSA0N       20160101006750100000050000 0000000000003128   
0601BSA0N       20160101006800100000050000 0000000000003130   
0601BSA0N       20160101006850100000050000 0000000000003133   
0601BSA0N       20160101006900100000050000 0000000000003135   
0601BSA0N       20160101006950100000050000 0000000000003138   
0601BSA0N       20160101007000100000050000 0000000000003140   
0601BSA0N       20160101007050100000050000 0000000000003143   
0601BSA0N       20160101007100100000050000 0000000000003145   
0601BSA0N       20160101007150100000050000 0000000000003147   
0601BSA0N       20160101007200100000050000 0000000000003149   
0601BSA0N       20160101007250100000050000 0000000000003150   
0601BSA0N       20160101007300100000050000 0000000000003152   
0601BSA0N       20160101007350100000050000 0000000000003153   
0601BSA0N       20160101007400100000050000 0000000000003154   
0601BSA0N       20160101007450100000050000 0000000000003155   
0601BSA0N       20160101007500100000050000 0000000000003157   
0601BSA0N       20160101007550100000050000 0000000000003158   
0601BSA0N       20160101007600100000050000 0000000000003159   
0601BSA0N       20160101007650100000050000 0000000000003160   
0601BSA0N       20160101007700100000050000 0000000000003161   
0601BSA0N       20160101007750100000050000 0000000000003162   
0601BSA0N       20160101007800100000050000 0000000000003163   
0601BSA0N       20160101007850100000050000 0000000000003164   
0601BSA0N       20160101007900100000050000 0000000000003165   
0601BSA0N       20160101007950100000050000 0000000000003167   
0601BSA0N       20160101008000100000050000 0000000000003168   
0601BSA0N       20160101008050100000050000 0000000000003168   
0601BSA0N       20160101008100100000050000 0000000000003170   
0601BSA0N       20160101008150100000050000 0000000000003171   
0601BSA0N       20160101008200100000050000 0000000000003171   
0601BSA0N       20160101008250100000050000 0000000000003173   
0601BSA0N       20160101008300100000050000 0000000000003173   
0601BSA0N       20160101008350100000050000 0000000000003174   
0601BSA0N       20160101008400100000050000 0000000000003176   
0601BSA0N       20160101008450100000050000 0000000000003176   
0601BSA0N       20160101008500100000050000 0000000000003177   
0601BSA0N       20160101008550100000050000 0000000000003178   
0601BSA0N       20160101008600100000050000 0000000000003179   
0601BSA0N       20160101008650100000050000 0000000000003180   
0601BSA0N       20160101008700100000050000 0000000000003181   
0601BSA0N       20160101008750100000050000 0000000000003182   
0601BSA0N       20160101008800100000050000 0000000000003182   
0601BSA0N       20160101008850100000050000 0000000000003184   
0601BSA0N       20160101008900100000050000 0000000000003184   
0601BSA0N       20160101008950100000050000 0000000000003185   
0601BSA0N       20160101009000100000050000 0000000000003186   
0601BSA0N       20160101009050100000050000 0000000000003187   
0601BSA0N       20160101009100100000050000 0000000000003187   
0601BSA0N       20160101009150100000050000 0000000000003188   
0601BSA0N       20160101009200100000050000 0000000000003189   
0601BSA0N       20160101009250100000050000 0000000000003190   
0601BSA0N       20160101009300100000050000 0000000000003190   
0601BSA0N       20160101009350100000050000 0000000000003191   
0601BSA0N       20160101009400100000050000 0000000000003192   
0601BSA0N       20160101009450100000050000 0000000000003193   
0601BSA0N       20160101009500100000050000 0000000000003194   
0601BSA0N       20160101009550100000050000 0000000000003194   
0601BSA0N       20160101009600100000050000 0000000000003195   
0601BSA0N       20160101009650100000050000 0000000000003196   
0601BSA0N       20160101009700100000050000 0000000000003196   
0601BSA0N       20160101009750100000050000 0000000000003197   
0601BSA0N       20160101009800100000050000 0000000000003198   
0601BSA0N       20160101009850100000050000 0000000000003198   
0601BSA0N       20160101009900100000050000 0000000000003199   
0601BSA0N       20160101009950100000050000 0000000000003200   
0601BSA0N       20160101010000100000100000 0000000000003201   
0601BSA0N       20160101010100100000100000 0000000000003202   
0601BSA0N       20160101010200100000100000 0000000000003203   
0601BSA0N       20160101010300100000100000 0000000000003205   
0601BSA0N       20160101010400100000100000 0000000000003206   
0601BSA0N       20160101010500100000100000 0000000000003207   
0601BSA0N       20160101010600100000100000 0000000000003208   
0601BSA0N       20160101010700100000100000 0000000000003209   
0601BSA0N       20160101010800100000100000 0000000000003211   
0601BSA0N       20160101010900100000100000 0000000000003212   
0601BSA0N       20160101011000100000100000 0000000000003213   
0601BSA0N       20160101011100100000100000 0000000000003214   
0601BSA0N       20160101011200100000100000 0000000000003215   
0601BSA0N       20160101011300100000100000 0000000000003216   
0601BSA0N       20160101011400100000100000 0000000000003217   
0601BSA0N       20160101011500100000100000 0000000000003218   
0601BSA0N       20160101011600100000100000 0000000000003219   
0601BSA0N       20160101011700100000100000 0000000000003220   
0601BSA0N       20160101011800100000100000 0000000000003221   
0601BSA0N       20160101011900100000100000 0000000000003222   
0601BSA0N       20160101012000100000100000 0000000000003223   
0601BSA0N       20160101012100100000100000 0000000000003224   
0601BSA0N       20160101012200100000100000 0000000000003225   
0601BSA0N       20160101012300100000100000 0000000000003225   
0601BSA0N       20160101012400100000100000 0000000000003226   
0601BSA0N       20160101012500100000100000 0000000000003227   
0601BSA0N       20160101012600100000100000 0000000000003228   
0601BSA0N       20160101012700100000100000 0000000000003229   
0601BSA0N       20160101012800100000100000 0000000000003230   
0601BSA0N       20160101012900100000100000 0000000000003230   
0601BSA0N       20160101013000100000100000 0000000000003231   
0601BSA0N       20160101013100100000100000 0000000000003232   
0601BSA0N       20160101013200100000100000 0000000000003233   
0601BSA0N       20160101013300100000100000 0000000000003233   
0601BSA0N       20160101013400100000100000 0000000000003234   
0601BSA0N       20160101013500100000100000 0000000000003235   
0601BSA0N       20160101013600100000100000 0000000000003236   
0601BSA0N       20160101013700100000100000 0000000000003236   
0601BSA0N       20160101013800100000100000 0000000000003237   
0601BSA0N       20160101013900100000100000 0000000000003238   
0601BSA0N       20160101014000100000100000 0000000000003238   
0601BSA0N       20160101014100100000100000 0000000000003239   
0601BSA0N       20160101014200100000100000 0000000000003240   
0601BSA0N       20160101014300100000100000 0000000000003240   
