00GE               20171120                                                                                   
0601GEA0N       20180101000830005000005000 0000000000001629   
0601GEA0N       20180101000835005000005000 0000000000001636   
0601GEA0N       20180101000840005000005000 0000000000001644   
0601GEA0N       20180101000845005000005000 0000000000001651   
0601GEA0N       20180101000850005000005000 0000000000001659   
0601GEA0N       20180101000855005000005000 0000000000001666   
0601GEA0N       20180101000860005000005000 0000000000001673   
0601GEA0N       20180101000865005000005000 0000000000001680   
0601GEA0N       20180101000870005000005000 0000000000001687   
0601GEA0N       20180101000875005000005000 0000000000001694   
0601GEA0N       20180101000880005000005000 0000000000001701   
0601GEA0N       20180101000885005000005000 0000000000001708   
0601GEA0N       20180101000890005000005000 0000000000001714   
0601GEA0N       20180101000895005000005000 0000000000001721   
0601GEA0N       20180101000900005000005000 0000000000001728   
0601GEA0N       20180101000905005000005000 0000000000001734   
0601GEA0N       20180101000910005000005000 0000000000001741   
0601GEA0N       20180101000915005000005000 0000000000001748   
0601GEA0N       20180101000920005000005000 0000000000001754   
0601GEA0N       20180101000925005000005000 0000000000001760   
0601GEA0N       20180101000930005000005000 0000000000001766   
0601GEA0N       20180101000935005000005000 0000000000001772   
0601GEA0N       20180101000940005000005000 0000000000001778   
0601GEA0N       20180101000945005000005000 0000000000001784   
0601GEA0N       20180101000950005000005000 0000000000001790   
0601GEA0N       20180101000955005000005000 0000000000001796   
0601GEA0N       20180101000960005000005000 0000000000001802   
0601GEA0N       20180101000965005000005000 0000000000001807   
0601GEA0N       20180101000970005000005000 0000000000001813   
0601GEA0N       20180101000975005000005000 0000000000001819   
0601GEA0N       20180101000980005000005000 0000000000001824   
0601GEA0N       20180101000985005000005000 0000000000001830   
0601GEA0N       20180101000990005000005000 0000000000001835   
0601GEA0N       20180101000995005000005000 0000000000001840   
0601GEA0N       20180101001000005000005000 0000000000001846   
0601GEA0N       20180101001005005000005000 0000000000001851   
0601GEA0N       20180101001010005000005000 0000000000001856   
0601GEA0N       20180101001015005000005000 0000000000001861   
0601GEA0N       20180101001020005000005000 0000000000001866   
0601GEA0N       20180101001025005000005000 0000000000001871   
0601GEA0N       20180101001030005000005000 0000000000001876   
0601GEA0N       20180101001035005000005000 0000000000001881   
0601GEA0N       20180101001040005000005000 0000000000001886   
0601GEA0N       20180101001045005000005000 0000000000001891   
0601GEA0N       20180101001050005000005000 0000000000001896   
0601GEA0N       20180101001055005000005000 0000000000001901   
0601GEA0N       20180101001060005000005000 0000000000001906   
0601GEA0N       20180101001065005000005000 0000000000001911   
0601GEA0N       20180101001070005000005000 0000000000001915   
0601GEA0N       20180101001075005000005000 0000000000001920   
0601GEA0N       20180101001080005000005000 0000000000001924   
0601GEA0N       20180101001085005000005000 0000000000001929   
0601GEA0N       20180101001090005000005000 0000000000001935   
0601GEA0N       20180101001095005000005000 0000000000001940   
0601GEA0N       20180101001100005000005000 0000000000001945   
0601GEA0N       20180101001105005000005000 0000000000001950   
0601GEA0N       20180101001110005000005000 0000000000001955   
0601GEA0N       20180101001115005000005000 0000000000001961   
0601GEA0N       20180101001120005000005000 0000000000001966   
0601GEA0N       20180101001125005000005000 0000000000001971   
0601GEA0N       20180101001130005000005000 0000000000001976   
0601GEA0N       20180101001135005000005000 0000000000001981   
0601GEA0N       20180101001140005000005000 0000000000001986   
0601GEA0N       20180101001145005000005000 0000000000001991   
0601GEA0N       20180101001150005000005000 0000000000001996   
0601GEA0N       20180101001155005000005000 0000000000002001   
0601GEA0N       20180101001160005000005000 0000000000002005   
0601GEA0N       20180101001165005000005000 0000000000002010   
0601GEA0N       20180101001170005000005000 0000000000002015   
0601GEA0N       20180101001175005000005000 0000000000002020   
0601GEA0N       20180101001180005000005000 0000000000002024   
0601GEA0N       20180101001185005000005000 0000000000002029   
0601GEA0N       20180101001190005000005000 0000000000002033   
0601GEA0N       20180101001195005000005000 0000000000002038   
0601GEA0N       20180101001200005000005000 0000000000002043   
0601GEA0N       20180101001205005000005000 0000000000002047   
0601GEA0N       20180101001210005000005000 0000000000002051   
0601GEA0N       20180101001215005000005000 0000000000002057   
0601GEA0N       20180101001220005000005000 0000000000002061   
0601GEA0N       20180101001225005000005000 0000000000002066   
0601GEA0N       20180101001230005000005000 0000000000002070   
0601GEA0N       20180101001235005000005000 0000000000002075   
0601GEA0N       20180101001240005000005000 0000000000002080   
0601GEA0N       20180101001245005000005000 0000000000002084   
0601GEA0N       20180101001250005000005000 0000000000002089   
0601GEA0N       20180101001255005000005000 0000000000002094   
0601GEA0N       20180101001260005000005000 0000000000002098   
0601GEA0N       20180101001265005000005000 0000000000002103   
0601GEA0N       20180101001270005000005000 0000000000002108   
0601GEA0N       20180101001275005000005000 0000000000002112   
0601GEA0N       20180101001280005000005000 0000000000002116   
0601GEA0N       20180101001285005000005000 0000000000002121   
0601GEA0N       20180101001290005000005000 0000000000002125   
0601GEA0N       20180101001295005000005000 0000000000002130   
0601GEA0N       20180101001300005000005000 0000000000002134   
0601GEA0N       20180101001305005000005000 0000000000002138   
0601GEA0N       20180101001310005000005000 0000000000002143   
0601GEA0N       20180101001315005000005000 0000000000002147   
0601GEA0N       20180101001320005000005000 0000000000002151   
0601GEA0N       20180101001325005000005000 0000000000002155   
0601GEA0N       20180101001330005000005000 0000000000002160   
0601GEA0N       20180101001335005000005000 0000000000002164   
0601GEA0N       20180101001340005000005000 0000000000002168   
0601GEA0N       20180101001345005000005000 0000000000002172   
0601GEA0N       20180101001350005000005000 0000000000002176   
0601GEA0N       20180101001355005000005000 0000000000002180   
0601GEA0N       20180101001360005000005000 0000000000002184   
0601GEA0N       20180101001365005000005000 0000000000002188   
0601GEA0N       20180101001370005000005000 0000000000002192   
0601GEA0N       20180101001375005000005000 0000000000002196   
0601GEA0N       20180101001380005000005000 0000000000002200   
0601GEA0N       20180101001385005000005000 0000000000002204   
0601GEA0N       20180101001390005000005000 0000000000002209   
0601GEA0N       20180101001395005000005000 0000000000002214   
0601GEA0N       20180101001400005000005000 0000000000002218   
0601GEA0N       20180101001405005000005000 0000000000002223   
0601GEA0N       20180101001410005000005000 0000000000002227   
0601GEA0N       20180101001415005000005000 0000000000002231   
0601GEA0N       20180101001420005000005000 0000000000002236   
0601GEA0N       20180101001425005000005000 0000000000002240   
0601GEA0N       20180101001430005000005000 0000000000002244   
0601GEA0N       20180101001435005000005000 0000000000002249   
0601GEA0N       20180101001440005000005000 0000000000002253   
0601GEA0N       20180101001445005000005000 0000000000002256   
0601GEA0N       20180101001450005000005000 0000000000002261   
0601GEA0N       20180101001455005000005000 0000000000002265   
0601GEA0N       20180101001460005000005000 0000000000002269   
0601GEA0N       20180101001465005000005000 0000000000002273   
0601GEA0N       20180101001470005000005000 0000000000002277   
0601GEA0N       20180101001475005000005000 0000000000002281   
0601GEA0N       20180101001480005000005000 0000000000002285   
0601GEA0N       20180101001485005000005000 0000000000002289   
0601GEA0N       20180101001490005000005000 0000000000002293   
0601GEA0N       20180101001495005000005000 0000000000002297   
0601GEA0N       20180101001500005000005000 0000000000002301   
0601GEA0N       20180101001505005000005000 0000000000002304   
0601GEA0N       20180101001510005000005000 0000000000002309   
0601GEA0N       20180101001515005000005000 0000000000002312   
0601GEA0N       20180101001520005000005000 0000000000002316   
0601GEA0N       20180101001525005000005000 0000000000002320   
0601GEA0N       20180101001530005000005000 0000000000002324   
0601GEA0N       20180101001535005000005000 0000000000002327   
0601GEA0N       20180101001540005000005000 0000000000002331   
0601GEA0N       20180101001545005000005000 0000000000002335   
0601GEA0N       20180101001550005000005000 0000000000002338   
