00AR               20171221                                                                                   
0601ARA0N       20180101000720100000005000 0000008690001203   
0601ARA0N       20180101000725100000005000 0000008790001208   
0601ARA0N       20180101000730100000005000 0000008880001212   
0601ARA0N       20180101000735100000005000 0000008970001216   
0601ARA0N       20180101000740100000005000 0000009070001221   
0601ARA0N       20180101000745100000005000 0000009170001227   
0601ARA0N       20180101000750100000005000 0000009270001232   
0601ARA0N       20180101000755100000005000 0000009360001236   
0601ARA0N       20180101000760100000005000 0000009460001240   
0601ARA0N       20180101000765100000005000 0000009570001247   
0601ARA0N       20180101000770100000005000 0000009670001251   
0601ARA0N       20180101000775100000005000 0000009770001256   
0601ARA0N       20180101000780100000005000 0000009880001262   
0601ARA0N       20180101000785100000005000 0000009980001268   
0601ARA0N       20180101000790100000005000 0000010110001276   
0601ARA0N       20180101000795100000005000 0000010220001281   
0601ARA0N       20180101000800100000005000 0000010330001287   
0601ARA0N       20180101000805100000005000 0000010440001292   
0601ARA0N       20180101000810100000005000 0000010560001300   
0601ARA0N       20180101000815100000005000 0000010670001305   
0601ARA0N       20180101000820100000005000 0000010780001311   
0601ARA0N       20180101000825100000005000 0000010890001316   
0601ARA0N       20180101000830100000005000 0000011000001321   
0601ARA0N       20180101000835100000005000 0000011130001328   
0601ARA0N       20180101000840100000005000 0000011240001334   
0601ARA0N       20180101000845100000005000 0000011350001340   
0601ARA0N       20180101000850100000005000 0000011470001345   
0601ARA0N       20180101000855100000005000 0000011580001350   
0601ARA0N       20180101000860100000005000 0000011710001357   
0601ARA0N       20180101000865100000005000 0000011820001362   
0601ARA0N       20180101000870100000005000 0000011920001367   
0601ARA0N       20180101000875100000005000 0000012030001371   
0601ARA0N       20180101000880100000005000 0000012160001377   
0601ARA0N       20180101000885100000005000 0000012260001382   
0601ARA0N       20180101000890100000005000 0000012370001386   
0601ARA0N       20180101000895100000005000 0000012480001391   
0601ARA0N       20180101000900100000005000 0000012590001395   
0601ARA0N       20180101000905100000005000 0000012720001402   
0601ARA0N       20180101000910100000005000 0000012830001406   
0601ARA0N       20180101000915100000005000 0000012940001411   
0601ARA0N       20180101000920100000005000 0000013050001415   
0601ARA0N       20180101000925100000005000 0000013180001421   
0601ARA0N       20180101000930100000005000 0000013290001426   
0601ARA0N       20180101000935100000005000 0000013410001430   
0601ARA0N       20180101000940100000005000 0000013520001434   
0601ARA0N       20180101000945100000005000 0000013630001438   
0601ARA0N       20180101000950100000005000 0000013760001444   
0601ARA0N       20180101000955100000005000 0000013870001448   
0601ARA0N       20180101000960100000005000 0000013980001452   
0601ARA0N       20180101000965100000005000 0000014090001456   
0601ARA0N       20180101000970100000005000 0000014200001460   
0601ARA0N       20180101000975100000005000 0000014330001466   
0601ARA0N       20180101000980100000005000 0000014440001470   
0601ARA0N       20180101000985100000005000 0000014560001474   
0601ARA0N       20180101000990100000005000 0000014670001478   
0601ARA0N       20180101000995100000005000 0000014790001483   
0601ARA0N       20180101001000100000005000 0000014910001487   
0601ARA0N       20180101001005100000005000 0000015020001490   
0601ARA0N       20180101001010100000005000 0000015130001494   
0601ARA0N       20180101001015100000005000 0000015240001498   
0601ARA0N       20180101001020100000005000 0000015370001503   
0601ARA0N       20180101001025100000005000 0000015480001506   
0601ARA0N       20180101001030100000005000 0000015590001510   
0601ARA0N       20180101001035100000005000 0000015700001513   
0601ARA0N       20180101001040100000005000 0000015830001518   
0601ARA0N       20180101001045100000005000 0000015940001522   
0601ARA0N       20180101001050100000005000 0000016050001525   
0601ARA0N       20180101001055100000005000 0000016160001528   
0601ARA0N       20180101001060100000005000 0000016290001533   
0601ARA0N       20180101001065100000005000 0000016400001536   
0601ARA0N       20180101001070100000005000 0000016520001540   
0601ARA0N       20180101001075100000005000 0000016650001545   
0601ARA0N       20180101001080100000005000 0000016760001548   
0601ARA0N       20180101001085100000005000 0000016870001552   
0601ARA0N       20180101001090100000005000 0000017000001556   
0601ARA0N       20180101001095100000005000 0000017130001561   
0601ARA0N       20180101001100100000005000 0000017250001565   
0601ARA0N       20180101001105100000005000 0000017370001569   
0601ARA0N       20180101001110100000005000 0000017520001575   
0601ARA0N       20180101001115100000005000 0000017640001578   
0601ARA0N       20180101001120100000005000 0000017760001582   
0601ARA0N       20180101001125100000005000 0000017880001586   
0601ARA0N       20180101001130100000005000 0000018020001591   
0601ARA0N       20180101001135100000005000 0000018140001595   
0601ARA0N       20180101001140100000005000 0000018260001599   
0601ARA0N       20180101001145100000005000 0000018410001604   
0601ARA0N       20180101001150100000005000 0000018530001608   
0601ARA0N       20180101001155100000005000 0000018650001611   
0601ARA0N       20180101001160100000005000 0000018790001617   
0601ARA0N       20180101001165100000005000 0000018910001620   
0601ARA0N       20180101001170100000005000 0000019030001623   
0601ARA0N       20180101001175100000005000 0000019150001627   
0601ARA0N       20180101001180100000005000 0000019300001632   
0601ARA0N       20180101001185100000005000 0000019420001635   
0601ARA0N       20180101001190100000005000 0000019540001638   
0601ARA0N       20180101001195100000005000 0000019680001644   
0601ARA0N       20180101001200100000005000 0000019800001647   
0601ARA0N       20180101001205100000005000 0000019920001650   
0601ARA0N       20180101001210100000005000 0000020070001655   
0601ARA0N       20180101001215100000005000 0000020190001658   
0601ARA0N       20180101001220100000005000 0000020310001661   
0601ARA0N       20180101001225100000005000 0000020430001664   
0601ARA0N       20180101001230100000005000 0000020580001669   
0601ARA0N       20180101001235100000005000 0000020700001673   
0601ARA0N       20180101001240100000005000 0000020820001676   
0601ARA0N       20180101001245100000005000 0000020970001681   
0601ARA0N       20180101001250100000005000 0000021090001684   
0601ARA0N       20180101001255100000005000 0000021220001687   
0601ARA0N       20180101001260100000005000 0000021370001692   
0601ARA0N       20180101001265100000005000 0000021490001695   
0601ARA0N       20180101001270100000005000 0000021610001698   
0601ARA0N       20180101001275100000005000 0000021760001703   
0601ARA0N       20180101001280100000005000 0000021880001706   
0601ARA0N       20180101001285100000005000 0000022010001709   
0601ARA0N       20180101001290100000005000 0000022160001714   
0601ARA0N       20180101001295100000005000 0000022280001717   
0601ARA0N       20180101001300100000005000 0000022400001720   
0601ARA0N       20180101001305100000005000 0000022550001725   
0601ARA0N       20180101001310100000005000 0000022670001727   
0601ARA0N       20180101001315100000005000 0000022800001730   
0601ARA0N       20180101001320100000005000 0000022940001735   
0601ARA0N       20180101001325100000005000 0000023070001738   
0601ARA0N       20180101001330100000005000 0000023190001740   
0601ARA0N       20180101001335100000005000 0000023340001745   
0601ARA0N       20180101001340100000005000 0000023460001748   
0601ARA0N       20180101001345100000005000 0000023590001750   
0601ARA0N       20180101001350100000005000 0000023730001755   
0601ARA0N       20180101001355100000005000 0000023860001757   
0601ARA0N       20180101001360100000005000 0000023980001760   
0601ARA0N       20180101001365100000005000 0000024130001764   
0601ARA0N       20180101001370100000005000 0000024250001767   
0601ARA0N       20180101001375100000005000 0000024380001770   
0601ARA0N       20180101001380100000005000 0000024540001775   
0601ARA0N       20180101001385100000005000 0000024670001778   
0601ARA0N       20180101001390100000005000 0000024800001781   
0601ARA0N       20180101001395100000005000 0000024960001786   
0601ARA0N       20180101001400100000005000 0000025090001789   
0601ARA0N       20180101001405100000005000 0000025220001792   
0601ARA0N       20180101001410100000005000 0000025380001797   
0601ARA0N       20180101001415100000005000 0000025520001800   
0601ARA0N       20180101001420100000005000 0000025650001803   
0601ARA0N       20180101001425100000005000 0000025810001808   
0601ARA0N       20180101001430100000005000 0000025940001811   
0601ARA0N       20180101001435100000005000 0000026070001814   
0601ARA0N       20180101001440100000005000 0000026230001818   
0601ARA0N       20180101001445100000005000 0000026360001821   
0601ARA0N       20180101001450100000005000 0000026500001824   
0601ARA0N       20180101001455100000005000 0000026660001829   
0601ARA0N       20180101001460100000005000 0000026790001832   
0601ARA0N       20180101001465100000005000 0000026920001834   
0601ARA0N       20180101001470100000005000 0000027080001839   
0601ARA0N       20180101001475100000005000 0000027210001842   
0601ARA0N       20180101001480100000005000 0000027340001844   
0601ARA0N       20180101001485100000005000 0000027500001849   
0601ARA0N       20180101001490100000005000 0000027640001852   
0601ARA0N       20180101001495100000005000 0000027770001854   
0601ARA0N       20180101001500100000005000 0000027930001859   
0601ARA0N       20180101001505100000005000 0000028060001861   
0601ARA0N       20180101001510100000005000 0000028190001864   
0601ARA0N       20180101001515100000005000 0000028350001868   
0601ARA0N       20180101001520100000005000 0000028480001871   
0601ARA0N       20180101001525100000005000 0000028620001873   
0601ARA0N       20180101001530100000005000 0000028770001878   
0601ARA0N       20180101001535100000005000 0000028910001880   
0601ARA0N       20180101001540100000005000 0000029040001883   
0601ARA0N       20180101001545100000005000 0000029200001887   
0601ARA0N       20180101001550100000005000 0000029330001889   
0601ARA0N       20180101001555100000005000 0000029460001892   
0601ARA0N       20180101001560100000005000 0000029620001896   
0601ARA0N       20180101001565100000005000 0000029750001898   
0601ARA0N       20180101001570100000005000 0000029890001901   
0601ARA0N       20180101001575100000005000 0000030050001905   
0601ARA0N       20180101001580100000005000 0000030180001907   
0601ARA0N       20180101001585100000005000 0000030310001909   
0601ARA0N       20180101001590100000005000 0000030470001913   
0601ARA0N       20180101001595100000005000 0000030600001916   
0601ARA0N       20180101001600100000005000 0000030740001918   
0601ARA0N       20180101001605100000005000 0000030890001922   
0601ARA0N       20180101001610100000005000 0000031030001924   
0601ARA0N       20180101001615100000005000 0000031160001926   
0601ARA0N       20180101001620100000005000 0000031320001930   
0601ARA0N       20180101001625100000005000 0000031450001932   
0601ARA0N       20180101001630100000005000 0000031580001935   
0601ARA0N       20180101001635100000005000 0000031740001938   
0601ARA0N       20180101001640100000005000 0000031870001941   
0601ARA0N       20180101001645100000005000 0000032010001943   
0601ARA0N       20180101001650100000005000 0000032170001946   
0601ARA0N       20180101001655100000005000 0000032300001949   
0601ARA0N       20180101001660100000005000 0000032430001951   
0601ARA0N       20180101001665100000005000 0000032590001954   
0601ARA0N       20180101001670100000005000 0000032720001956   
0601ARA0N       20180101001675100000005000 0000032850001959   
0601ARA0N       20180101001680100000005000 0000033010001962   
0601ARA0N       20180101001685100000005000 0000033150001964   
0601ARA0N       20180101001690100000005000 0000033280001966   
0601ARA0N       20180101001695100000005000 0000033440001970   
0601ARA0N       20180101001700100000005000 0000033570001972   
0601ARA0N       20180101001705100000005000 0000033700001974   
0601ARA0N       20180101001710100000005000 0000033860001977   
0601ARA0N       20180101001715100000005000 0000033990001979   
0601ARA0N       20180101001720100000005000 0000034130001981   
0601ARA0N       20180101001725100000005000 0000034290001985   
0601ARA0N       20180101001730100000005000 0000034420001987   
0601ARA0N       20180101001735100000005000 0000034550001988   
0601ARA0N       20180101001740100000005000 0000034710001992   
0601ARA0N       20180101001745100000005000 0000034840001994   
0601ARA0N       20180101001750100000005000 0000034970001996   
0601ARA0N       20180101001755100000005000 0000035130001999   
