00VD               20170904                                                                                   
0601VDA0N       20180101000840100000005000 0000000000001595   
0601VDA0N       20180101000845100000005000 0000000000001602   
0601VDA0N       20180101000850100000005000 0000000000001608   
0601VDA0N       20180101000855100000005000 0000000000001614   
0601VDA0N       20180101000860100000005000 0000000000001620   
0601VDA0N       20180101000865100000005000 0000000000001626   
0601VDA0N       20180101000870100000005000 0000000000001631   
0601VDA0N       20180101000875100000005000 0000000000001638   
0601VDA0N       20180101000880100000005000 0000000000001646   
0601VDA0N       20180101000885100000005000 0000000000001651   
0601VDA0N       20180101000890100000005000 0000000000001658   
0601VDA0N       20180101000895100000005000 0000000000001663   
0601VDA0N       20180101000900100000005000 0000000000001668   
0601VDA0N       20180101000905100000005000 0000000000001674   
0601VDA0N       20180101000910100000005000 0000000000001679   
0601VDA0N       20180101000915100000005000 0000000000001685   
0601VDA0N       20180101000920100000005000 0000000000001691   
0601VDA0N       20180101000925100000005000 0000000000001698   
0601VDA0N       20180101000930100000005000 0000000000001704   
0601VDA0N       20180101000935100000005000 0000000000001710   
0601VDA0N       20180101000940100000005000 0000000000001716   
0601VDA0N       20180101000945100000005000 0000000000001722   
0601VDA0N       20180101000950100000005000 0000000000001727   
0601VDA0N       20180101000955100000005000 0000000000001733   
0601VDA0N       20180101000960100000005000 0000000000001739   
0601VDA0N       20180101000965100000005000 0000000000001745   
0601VDA0N       20180101000970100000005000 0000000000001750   
0601VDA0N       20180101000975100000005000 0000000000001756   
0601VDA0N       20180101000980100000005000 0000000000001761   
0601VDA0N       20180101000985100000005000 0000000000001767   
0601VDA0N       20180101000990100000005000 0000000000001772   
0601VDA0N       20180101000995100000005000 0000000000001777   
0601VDA0N       20180101001000100000005000 0000000000001782   
0601VDA0N       20180101001005100000005000 0000000000001788   
0601VDA0N       20180101001010100000005000 0000000000001793   
0601VDA0N       20180101001015100000005000 0000000000001801   
0601VDA0N       20180101001020100000005000 0000000000001806   
0601VDA0N       20180101001025100000005000 0000000000001811   
0601VDA0N       20180101001030100000005000 0000000000001815   
0601VDA0N       20180101001035100000005000 0000000000001821   
0601VDA0N       20180101001040100000005000 0000000000001826   
0601VDA0N       20180101001045100000005000 0000000000001830   
0601VDA0N       20180101001050100000005000 0000000000001836   
0601VDA0N       20180101001055100000005000 0000000000001840   
0601VDA0N       20180101001060100000005000 0000000000001845   
0601VDA0N       20180101001065100000005000 0000000000001849   
0601VDA0N       20180101001070100000005000 0000000000001854   
0601VDA0N       20180101001075100000005000 0000000000001862   
0601VDA0N       20180101001080100000005000 0000000000001867   
0601VDA0N       20180101001085100000005000 0000000000001872   
0601VDA0N       20180101001090100000005000 0000000000001878   
0601VDA0N       20180101001095100000005000 0000000000001884   
0601VDA0N       20180101001100100000005000 0000000000001889   
0601VDA0N       20180101001105100000005000 0000000000001898   
0601VDA0N       20180101001110100000005000 0000000000001903   
0601VDA0N       20180101001115100000005000 0000000000001908   
0601VDA0N       20180101001120100000005000 0000000000001914   
0601VDA0N       20180101001125100000005000 0000000000001922   
0601VDA0N       20180101001130100000005000 0000000000001927   
0601VDA0N       20180101001135100000005000 0000000000001932   
0601VDA0N       20180101001140100000005000 0000000000001940   
0601VDA0N       20180101001145100000005000 0000000000001946   
0601VDA0N       20180101001150100000005000 0000000000001951   
0601VDA0N       20180101001155100000005000 0000000000001958   
0601VDA0N       20180101001160100000005000 0000000000001963   
0601VDA0N       20180101001165100000005000 0000000000001968   
0601VDA0N       20180101001170100000005000 0000000000001976   
0601VDA0N       20180101001175100000005000 0000000000001981   
0601VDA0N       20180101001180100000005000 0000000000001985   
0601VDA0N       20180101001185100000005000 0000000000001992   
0601VDA0N       20180101001190100000005000 0000000000001997   
0601VDA0N       20180101001195100000005000 0000000000002002   
0601VDA0N       20180101001200100000005000 0000000000002009   
0601VDA0N       20180101001205100000005000 0000000000002013   
0601VDA0N       20180101001210100000005000 0000000000002018   
0601VDA0N       20180101001215100000005000 0000000000002026   
0601VDA0N       20180101001220100000005000 0000000000002029   
0601VDA0N       20180101001225100000005000 0000000000002034   
0601VDA0N       20180101001230100000005000 0000000000002041   
0601VDA0N       20180101001235100000005000 0000000000002045   
0601VDA0N       20180101001240100000005000 0000000000002050   
0601VDA0N       20180101001245100000005000 0000000000002056   
0601VDA0N       20180101001250100000005000 0000000000002061   
0601VDA0N       20180101001255100000005000 0000000000002065   
0601VDA0N       20180101001260100000005000 0000000000002072   
0601VDA0N       20180101001265100000005000 0000000000002075   
0601VDA0N       20180101001270100000005000 0000000000002080   
0601VDA0N       20180101001275100000005000 0000000000002086   
0601VDA0N       20180101001280100000005000 0000000000002090   
0601VDA0N       20180101001285100000005000 0000000000002094   
0601VDA0N       20180101001290100000005000 0000000000002101   
0601VDA0N       20180101001295100000005000 0000000000002104   
0601VDA0N       20180101001300100000005000 0000000000002109   
0601VDA0N       20180101001305100000005000 0000000000002115   
0601VDA0N       20180101001310100000005000 0000000000002118   
0601VDA0N       20180101001315100000005000 0000000000002123   
0601VDA0N       20180101001320100000005000 0000000000002129   
0601VDA0N       20180101001325100000005000 0000000000002133   
0601VDA0N       20180101001330100000005000 0000000000002137   
0601VDA0N       20180101001335100000005000 0000000000002144   
0601VDA0N       20180101001340100000005000 0000000000002147   
0601VDA0N       20180101001345100000005000 0000000000002152   
0601VDA0N       20180101001350100000005000 0000000000002158   
0601VDA0N       20180101001355100000005000 0000000000002161   
0601VDA0N       20180101001360100000005000 0000000000002166   
0601VDA0N       20180101001365100000005000 0000000000002172   
0601VDA0N       20180101001370100000005000 0000000000002176   
0601VDA0N       20180101001375100000005000 0000000000002180   
0601VDA0N       20180101001380100000005000 0000000000002186   
0601VDA0N       20180101001385100000005000 0000000000002190   
0601VDA0N       20180101001390100000005000 0000000000002195   
0601VDA0N       20180101001395100000005000 0000000000002202   
0601VDA0N       20180101001400100000005000 0000000000002206   
0601VDA0N       20180101001405100000005000 0000000000002210   
0601VDA0N       20180101001410100000005000 0000000000002216   
0601VDA0N       20180101001415100000005000 0000000000002220   
0601VDA0N       20180101001420100000005000 0000000000002225   
0601VDA0N       20180101001425100000005000 0000000000002232   
0601VDA0N       20180101001430100000005000 0000000000002236   
0601VDA0N       20180101001435100000005000 0000000000002240   
0601VDA0N       20180101001440100000005000 0000000000002246   
0601VDA0N       20180101001445100000005000 0000000000002250   
0601VDA0N       20180101001450100000005000 0000000000002254   
0601VDA0N       20180101001455100000005000 0000000000002260   
0601VDA0N       20180101001460100000005000 0000000000002264   
0601VDA0N       20180101001465100000005000 0000000000002268   
0601VDA0N       20180101001470100000005000 0000000000002274   
0601VDA0N       20180101001475100000005000 0000000000002278   
0601VDA0N       20180101001480100000005000 0000000000002282   
0601VDA0N       20180101001485100000005000 0000000000002287   
0601VDA0N       20180101001490100000005000 0000000000002291   
0601VDA0N       20180101001495100000005000 0000000000002295   
0601VDA0N       20180101001500100000005000 0000000000002301   
0601VDA0N       20180101001505100000005000 0000000000002305   
0601VDA0N       20180101001510100000005000 0000000000002308   
0601VDA0N       20180101001515100000005000 0000000000002314   
0601VDA0N       20180101001520100000005000 0000000000002317   
0601VDA0N       20180101001525100000005000 0000000000002321   
0601VDA0N       20180101001530100000005000 0000000000002326   
0601VDA0N       20180101001535100000005000 0000000000002330   
0601VDA0N       20180101001540100000005000 0000000000002333   
0601VDA0N       20180101001545100000005000 0000000000002339   
0601VDA0N       20180101001550100000005000 0000000000002343   
0601VDA0N       20180101001555100000005000 0000000000002347   
0601VDA0N       20180101001560100000005000 0000000000002350   
0601VDA0N       20180101001565100000005000 0000000000002355   
0601VDA0N       20180101001570100000005000 0000000000002360   
0601VDA0N       20180101001575100000005000 0000000000002363   
0601VDA0N       20180101001580100000005000 0000000000002369   
