00BL               20161213                                                                                   
0601BLA0N       20170101000725100000005000 0000009170001260   
0601BLA0N       20170101000730100000005000 0000009280001267   
0601BLA0N       20170101000735100000005000 0000009400001275   
0601BLA0N       20170101000740100000005000 0000009520001282   
0601BLA0N       20170101000745100000005000 0000009640001290   
0601BLA0N       20170101000750100000005000 0000009760001297   
0601BLA0N       20170101000755100000005000 0000009880001304   
0601BLA0N       20170101000760100000005000 0000010000001311   
0601BLA0N       20170101000765100000005000 0000010120001319   
0601BLA0N       20170101000770100000005000 0000010240001326   
0601BLA0N       20170101000775100000005000 0000010360001332   
0601BLA0N       20170101000780100000005000 0000010500001342   
0601BLA0N       20170101000785100000005000 0000010630001350   
0601BLA0N       20170101000790100000005000 0000010760001358   
0601BLA0N       20170101000795100000005000 0000010900001367   
0601BLA0N       20170101000800100000005000 0000011030001374   
0601BLA0N       20170101000805100000005000 0000011170001383   
0601BLA0N       20170101000810100000005000 0000011300001391   
0601BLA0N       20170101000815100000005000 0000011430001398   
0601BLA0N       20170101000820100000005000 0000011570001407   
0601BLA0N       20170101000825100000005000 0000011700001414   
0601BLA0N       20170101000830100000005000 0000011840001422   
0601BLA0N       20170101000835100000005000 0000011980001430   
0601BLA0N       20170101000840100000005000 0000012110001437   
0601BLA0N       20170101000845100000005000 0000012260001447   
0601BLA0N       20170101000850100000005000 0000012400001455   
0601BLA0N       20170101000855100000005000 0000012530001461   
0601BLA0N       20170101000860100000005000 0000012670001469   
0601BLA0N       20170101000865100000005000 0000012810001477   
0601BLA0N       20170101000870100000005000 0000012950001484   
0601BLA0N       20170101000875100000005000 0000013090001492   
0601BLA0N       20170101000880100000005000 0000013230001499   
0601BLA0N       20170101000885100000005000 0000013370001506   
0601BLA0N       20170101000890100000005000 0000013510001514   
0601BLA0N       20170101000895100000005000 0000013650001521   
0601BLA0N       20170101000900100000005000 0000013790001528   
0601BLA0N       20170101000905100000005000 0000013930001535   
0601BLA0N       20170101000910100000005000 0000014070001542   
0601BLA0N       20170101000915100000005000 0000014210001549   
0601BLA0N       20170101000920100000005000 0000014350001556   
0601BLA0N       20170101000925100000005000 0000014500001563   
0601BLA0N       20170101000930100000005000 0000014640001570   
0601BLA0N       20170101000935100000005000 0000014780001577   
0601BLA0N       20170101000940100000005000 0000014920001583   
0601BLA0N       20170101000945100000005000 0000015060001589   
0601BLA0N       20170101000950100000005000 0000015200001596   
0601BLA0N       20170101000955100000005000 0000015350001603   
0601BLA0N       20170101000960100000005000 0000015490001609   
0601BLA0N       20170101000965100000005000 0000015630001616   
0601BLA0N       20170101000970100000005000 0000015770001622   
0601BLA0N       20170101000975100000005000 0000015920001629   
0601BLA0N       20170101000980100000005000 0000016070001636   
0601BLA0N       20170101000985100000005000 0000016210001642   
0601BLA0N       20170101000990100000005000 0000016350001647   
0601BLA0N       20170101000995100000005000 0000016490001653   
0601BLA0N       20170101001000100000005000 0000016640001660   
0601BLA0N       20170101001005100000005000 0000016780001666   
0601BLA0N       20170101001010100000005000 0000016930001672   
0601BLA0N       20170101001015100000005000 0000017070001678   
0601BLA0N       20170101001020100000005000 0000017220001684   
0601BLA0N       20170101001025100000005000 0000017360001690   
0601BLA0N       20170101001030100000005000 0000017500001695   
0601BLA0N       20170101001035100000005000 0000017650001701   
0601BLA0N       20170101001040100000005000 0000017790001706   
0601BLA0N       20170101001045100000005000 0000017940001713   
0601BLA0N       20170101001050100000005000 0000018080001718   
0601BLA0N       20170101001055100000005000 0000018230001724   
0601BLA0N       20170101001060100000005000 0000018380001730   
0601BLA0N       20170101001065100000005000 0000018520001735   
0601BLA0N       20170101001070100000005000 0000018670001741   
0601BLA0N       20170101001075100000005000 0000018810001746   
0601BLA0N       20170101001080100000005000 0000018960001752   
0601BLA0N       20170101001085100000005000 0000019110001757   
0601BLA0N       20170101001090100000005000 0000019270001764   
0601BLA0N       20170101001095100000005000 0000019420001769   
0601BLA0N       20170101001100100000005000 0000019580001776   
0601BLA0N       20170101001105100000005000 0000019740001782   
0601BLA0N       20170101001110100000005000 0000019900001789   
0601BLA0N       20170101001115100000005000 0000020050001794   
0601BLA0N       20170101001120100000005000 0000020210001800   
0601BLA0N       20170101001125100000005000 0000020360001806   
0601BLA0N       20170101001130100000005000 0000020520001812   
0601BLA0N       20170101001135100000005000 0000020680001818   
0601BLA0N       20170101001140100000005000 0000020840001824   
0601BLA0N       20170101001145100000005000 0000020990001829   
0601BLA0N       20170101001150100000005000 0000021150001835   
0601BLA0N       20170101001155100000005000 0000021310001841   
0601BLA0N       20170101001160100000005000 0000021470001847   
0601BLA0N       20170101001165100000005000 0000021630001853   
0601BLA0N       20170101001170100000005000 0000021780001858   
0601BLA0N       20170101001175100000005000 0000021940001863   
0601BLA0N       20170101001180100000005000 0000022100001869   
0601BLA0N       20170101001185100000005000 0000022260001875   
0601BLA0N       20170101001190100000005000 0000022420001880   
0601BLA0N       20170101001195100000005000 0000022570001885   
0601BLA0N       20170101001200100000005000 0000022740001891   
0601BLA0N       20170101001205100000005000 0000022890001896   
0601BLA0N       20170101001210100000005000 0000023050001901   
0601BLA0N       20170101001215100000005000 0000023200001906   
0601BLA0N       20170101001220100000005000 0000023360001911   
0601BLA0N       20170101001225100000005000 0000023530001917   
0601BLA0N       20170101001230100000005000 0000023680001921   
0601BLA0N       20170101001235100000005000 0000023840001926   
0601BLA0N       20170101001240100000005000 0000024000001932   
0601BLA0N       20170101001245100000005000 0000024170001937   
0601BLA0N       20170101001250100000005000 0000024330001943   
0601BLA0N       20170101001255100000005000 0000024480001947   
0601BLA0N       20170101001260100000005000 0000024650001952   
0601BLA0N       20170101001265100000005000 0000024810001957   
0601BLA0N       20170101001270100000005000 0000024970001962   
0601BLA0N       20170101001275100000005000 0000025140001968   
0601BLA0N       20170101001280100000005000 0000025300001973   
0601BLA0N       20170101001285100000005000 0000025460001977   
0601BLA0N       20170101001290100000005000 0000025620001982   
0601BLA0N       20170101001295100000005000 0000025780001987   
0601BLA0N       20170101001300100000005000 0000025940001992   
0601BLA0N       20170101001305100000005000 0000026110001997   
0601BLA0N       20170101001310100000005000 0000026270002002   
0601BLA0N       20170101001315100000005000 0000026430002006   
0601BLA0N       20170101001320100000005000 0000026600002011   
0601BLA0N       20170101001325100000005000 0000026760002016   
0601BLA0N       20170101001330100000005000 0000026920002020   
0601BLA0N       20170101001335100000005000 0000027080002025   
0601BLA0N       20170101001340100000005000 0000027240002029   
0601BLA0N       20170101001345100000005000 0000027400002033   
0601BLA0N       20170101001350100000005000 0000027570002038   
0601BLA0N       20170101001355100000005000 0000027730002043   
0601BLA0N       20170101001360100000005000 0000027890002047   
0601BLA0N       20170101001365100000005000 0000028060002052   
0601BLA0N       20170101001370100000005000 0000028220002056   
0601BLA0N       20170101001375100000005000 0000028380002060   
0601BLA0N       20170101001380100000005000 0000028550002065   
0601BLA0N       20170101001385100000005000 0000028720002070   
0601BLA0N       20170101001390100000005000 0000028890002075   
0601BLA0N       20170101001395100000005000 0000029070002080   
0601BLA0N       20170101001400100000005000 0000029240002085   
0601BLA0N       20170101001405100000005000 0000029410002090   
0601BLA0N       20170101001410100000005000 0000029590002095   
0601BLA0N       20170101001415100000005000 0000029760002099   
0601BLA0N       20170101001420100000005000 0000029930002104   
0601BLA0N       20170101001425100000005000 0000030100002109   
0601BLA0N       20170101001430100000005000 0000030270002113   
0601BLA0N       20170101001435100000005000 0000030440002118   
0601BLA0N       20170101001440100000005000 0000030620002123   
0601BLA0N       20170101001445100000005000 0000030790002127   
0601BLA0N       20170101001450100000005000 0000030960002131   
0601BLA0N       20170101001455100000005000 0000031140002137   
0601BLA0N       20170101001460100000005000 0000031310002141   
0601BLA0N       20170101001465100000005000 0000031480002145   
0601BLA0N       20170101001470100000005000 0000031660002150   
0601BLA0N       20170101001475100000005000 0000031830002154   
0601BLA0N       20170101001480100000005000 0000032000002159   
0601BLA0N       20170101001485100000005000 0000032180002163   
0601BLA0N       20170101001490100000005000 0000032350002168   
0601BLA0N       20170101001495100000005000 0000032520002172   
0601BLA0N       20170101001500100000005000 0000032700002176   
0601BLA0N       20170101001505100000005000 0000032870002180   
0601BLA0N       20170101001510100000005000 0000033040002184   
0601BLA0N       20170101001515100000005000 0000033220002189   
0601BLA0N       20170101001520100000005000 0000033390002193   
0601BLA0N       20170101001525100000005000 0000033560002197   
0601BLA0N       20170101001530100000005000 0000033730002201   
0601BLA0N       20170101001535100000005000 0000033900002205   
0601BLA0N       20170101001540100000005000 0000034070002209   
0601BLA0N       20170101001545100000005000 0000034250002213   
0601BLA0N       20170101001550100000005000 0000034420002217   
0601BLA0N       20170101001555100000005000 0000034590002221   
0601BLA0N       20170101001560100000005000 0000034770002225   
0601BLA0N       20170101001565100000005000 0000034950002230   
0601BLA0N       20170101001570100000005000 0000035120002233   
0601BLA0N       20170101001575100000005000 0000035290002237   
0601BLA0N       20170101001580100000005000 0000035460002241   
0601BLA0N       20170101001585100000005000 0000035630002244   
0601BLA0N       20170101001590100000005000 0000035820002249   
0601BLA0N       20170101001595100000005000 0000035990002253   
0601BLA0N       20170101001600100000005000 0000036160002256   
0601BLA0N       20170101001605100000005000 0000036330002260   
0601BLA0N       20170101001610100000005000 0000036510002264   
0601BLA0N       20170101001615100000005000 0000036680002268   
0601BLA0N       20170101001620100000005000 0000036860002272   
0601BLA0N       20170101001625100000005000 0000037030002275   
0601BLA0N       20170101001630100000005000 0000037200002279   
0601BLA0N       20170101001635100000005000 0000037380002283   
0601BLA0N       20170101001640100000005000 0000037550002286   
0601BLA0N       20170101001645100000005000 0000037720002290   
0601BLA0N       20170101001650100000005000 0000037900002293   
0601BLA0N       20170101001655100000005000 0000038070002297   
0601BLA0N       20170101001660100000005000 0000038240002300   
0601BLA0N       20170101001665100000005000 0000038420002304   
0601BLA0N       20170101001670100000005000 0000038590002307   
0601BLA0N       20170101001675100000005000 0000038760002311   
0601BLA0N       20170101001680100000005000 0000038940002314   
0601BLA0N       20170101001685100000005000 0000039110002318   
0601BLA0N       20170101001690100000005000 0000039280002321   
0601BLA0N       20170101001695100000005000 0000039460002325   
0601BLA0N       20170101001700100000005000 0000039630002328   
0601BLA0N       20170101001705100000005000 0000039800002331   
0601BLA0N       20170101001710100000005000 0000039980002335   
0601BLA0N       20170101001715100000005000 0000040150002338   
0601BLA0N       20170101001720100000005000 0000040330002341   
0601BLA0N       20170101001725100000005000 0000040510002345   
0601BLA0N       20170101001730100000005000 0000040680002348   
0601BLA0N       20170101001735100000005000 0000040850002351   
0601BLA0N       20170101001740100000005000 0000041030002355   
0601BLA0N       20170101001745100000005000 0000041200002358   
0601BLA0N       20170101001750100000005000 0000041370002361   
0601BLA0N       20170101001755100000005000 0000041550002364   
0601BLA0N       20170101001760100000005000 0000041720002367   
0601BLA0N       20170101001765100000005000 0000041890002370   
0601BLA0N       20170101001770100000005000 0000042090002375   
0601BLA0N       20170101001775100000005000 0000042270002378   
0601BLA0N       20170101001780100000005000 0000042450002381   
0601BLA0N       20170101001785100000005000 0000042640002385   
0601BLA0N       20170101001790100000005000 0000042820002389   
0601BLA0N       20170101001795100000005000 0000043000002392   
0601BLA0N       20170101001800100000005000 0000043190002396   
0601BLA0N       20170101001805100000005000 0000043370002399   
0601BLA0N       20170101001810100000005000 0000043550002403   
0601BLA0N       20170101001815100000005000 0000043740002407   
0601BLA0N       20170101001820100000005000 0000043920002410   
0601BLA0N       20170101001825100000005000 0000044100002413   
0601BLA0N       20170101001830100000005000 0000044300002417   
0601BLA0N       20170101001835100000005000 0000044480002421   
0601BLA0N       20170101001840100000005000 0000044660002424   
0601BLA0N       20170101001845100000005000 0000044850002428   
0601BLA0N       20170101001850100000005000 0000045030002431   
0601BLA0N       20170101001855100000005000 0000045210002434   
0601BLA0N       20170101001860100000005000 0000045400002438   
0601BLA0N       20170101001865100000005000 0000045580002441   
0601BLA0N       20170101001870100000005000 0000045760002444   
0601BLA0N       20170101001875100000005000 0000045960002448   
0601BLA0N       20170101001880100000005000 0000046140002451   
0601BLA0N       20170101001885100000005000 0000046320002454   
0601BLA0N       20170101001890100000005000 0000046510002458   
0601BLA0N       20170101001895100000005000 0000046690002461   
0601BLA0N       20170101001900100000005000 0000046870002464   
0601BLA0N       20170101001905100000005000 0000047060002467   
0601BLA0N       20170101001910100000005000 0000047240002470   
0601BLA0N       20170101001915100000005000 0000047420002473   
0601BLA0N       20170101001920100000005000 0000047620002477   
0601BLA0N       20170101001925100000005000 0000047800002480   
0601BLA0N       20170101001930100000005000 0000047980002483   
0601BLA0N       20170101001935100000005000 0000048170002486   
0601BLA0N       20170101001940100000005000 0000048350002489   
0601BLA0N       20170101001945100000005000 0000048530002492   
0601BLA0N       20170101001950100000005000 0000048730002496   
0601BLA0N       20170101001955100000005000 0000048910002499   
0601BLA0N       20170101001960100000005000 0000049090002501   
0601BLA0N       20170101001965100000005000 0000049280002505   
0601BLA0N       20170101001970100000005000 0000049460002507   
0601BLA0N       20170101001975100000005000 0000049640002510   
0601BLA0N       20170101001980100000005000 0000049830002513   
0601BLA0N       20170101001985100000005000 0000050020002517   
0601BLA0N       20170101001990100000005000 0000050200002519   
0601BLA0N       20170101001995100000005000 0000050390002523   
0601BLA0N       20170101002000100000005000 0000050570002525   
0601BLA0N       20170101002005100000005000 0000050750002528   
0601BLA0N       20170101002010100000005000 0000050940002531   
0601BLA0N       20170101002015100000005000 0000051130002534   
0601BLA0N       20170101002020100000005000 0000051310002537   
0601BLA0N       20170101002025100000005000 0000051500002540   
0601BLA0N       20170101002030100000005000 0000051680002543   
0601BLA0N       20170101002035100000005000 0000051860002545   
0601BLA0N       20170101002040100000005000 0000052050002548   
0601BLA0N       20170101002045100000005000 0000052240002551   
0601BLA0N       20170101002050100000005000 0000052420002554   
0601BLA0N       20170101002055100000005000 0000052610002557   
0601BLA0N       20170101002060100000005000 0000052790002560   
0601BLA0N       20170101002065100000005000 0000052970002562   
0601BLA0N       20170101002070100000005000 0000053170002566   
0601BLA0N       20170101002075100000005000 0000053350002568   
0601BLA0N       20170101002080100000005000 0000053530002570   
0601BLA0N       20170101002085100000005000 0000053720002573   
0601BLA0N       20170101002090100000005000 0000053900002576   
0601BLA0N       20170101002095100000005000 0000054090002579   
0601BLA0N       20170101002100100000005000 0000054280002582   
0601BLA0N       20170101002105100000005000 0000054460002584   
0601BLA0N       20170101002110100000005000 0000054640002587   
0601BLA0N       20170101002115100000005000 0000054840002590   
0601BLA0N       20170101002120100000005000 0000055020002592   
0601BLA0N       20170101002125100000005000 0000055200002595   
0601BLA0N       20170101002130100000005000 0000055390002597   
0601BLA0N       20170101002135100000005000 0000055570002600   
0601BLA0N       20170101002140100000005000 0000055750002602   
0601BLA0N       20170101002145100000005000 0000055950002605   
0601BLA0N       20170101002150100000005000 0000056130002608   
0601BLA0N       20170101002155100000005000 0000056310002610   
0601BLA0N       20170101002160100000005000 0000056500002613   
0601BLA0N       20170101002165100000005000 0000056690002615   
0601BLA0N       20170101002170100000005000 0000056870002618   
0601BLA0N       20170101002175100000005000 0000057060002620   
0601BLA0N       20170101002180100000005000 0000057240002623   
0601BLA0N       20170101002185100000005000 0000057430002625   
0601BLA0N       20170101002190100000005000 0000057620002628   
0601BLA0N       20170101002195100000005000 0000057800002630   
0601BLA0N       20170101002200100000005000 0000057980002632   
