00SG               20161130                                                                                   
0601SGA0N       20170101000610100000005000 0000000000001185   
0601SGA0N       20170101000615100000005000 0000000000001192   
0601SGA0N       20170101000620100000005000 0000000000001200   
0601SGA0N       20170101000625100000005000 0000000000001209   
0601SGA0N       20170101000630100000005000 0000000000001216   
0601SGA0N       20170101000635100000005000 0000000000001223   
0601SGA0N       20170101000640100000005000 0000000000001230   
0601SGA0N       20170101000645100000005000 0000000000001237   
0601SGA0N       20170101000650100000005000 0000000000001243   
0601SGA0N       20170101000655100000005000 0000000000001250   
0601SGA0N       20170101000660100000005000 0000000000001256   
0601SGA0N       20170101000665100000005000 0000000000001262   
0601SGA0N       20170101000670100000005000 0000000000001268   
0601SGA0N       20170101000675100000005000 0000000000001277   
0601SGA0N       20170101000680100000005000 0000000000001283   
0601SGA0N       20170101000685100000005000 0000000000001289   
0601SGA0N       20170101000690100000005000 0000000000001295   
0601SGA0N       20170101000695100000005000 0000000000001301   
0601SGA0N       20170101000700100000005000 0000000000001309   
0601SGA0N       20170101000705100000005000 0000000000001315   
0601SGA0N       20170101000710100000005000 0000000000001320   
0601SGA0N       20170101000715100000005000 0000000000001326   
0601SGA0N       20170101000720100000005000 0000000000001334   
0601SGA0N       20170101000725100000005000 0000000000001339   
0601SGA0N       20170101000730100000005000 0000000000001344   
0601SGA0N       20170101000735100000005000 0000000000001349   
0601SGA0N       20170101000740100000005000 0000000000001354   
0601SGA0N       20170101000745100000005000 0000000000001362   
0601SGA0N       20170101000750100000005000 0000000000001367   
0601SGA0N       20170101000755100000005000 0000000000001371   
0601SGA0N       20170101000760100000005000 0000000000001376   
0601SGA0N       20170101000765100000005000 0000000000001383   
0601SGA0N       20170101000770100000005000 0000000000001388   
0601SGA0N       20170101000775100000005000 0000000000001393   
0601SGA0N       20170101000780100000005000 0000000000001399   
0601SGA0N       20170101000785100000005000 0000000000001405   
0601SGA0N       20170101000790100000005000 0000000000001413   
0601SGA0N       20170101000795100000005000 0000000000001419   
0601SGA0N       20170101000800100000005000 0000000000001425   
0601SGA0N       20170101000805100000005000 0000000000001431   
0601SGA0N       20170101000810100000005000 0000000000001438   
0601SGA0N       20170101000815100000005000 0000000000001444   
0601SGA0N       20170101000820100000005000 0000000000001449   
0601SGA0N       20170101000825100000005000 0000000000001455   
