00GE               20161120                                                                                   
0601GEA0N       20170101000830005000005000 0000000000001639   
0601GEA0N       20170101000835005000005000 0000000000001646   
0601GEA0N       20170101000840005000005000 0000000000001654   
0601GEA0N       20170101000845005000005000 0000000000001661   
0601GEA0N       20170101000850005000005000 0000000000001669   
0601GEA0N       20170101000855005000005000 0000000000001676   
0601GEA0N       20170101000860005000005000 0000000000001683   
0601GEA0N       20170101000865005000005000 0000000000001690   
0601GEA0N       20170101000870005000005000 0000000000001697   
0601GEA0N       20170101000875005000005000 0000000000001704   
0601GEA0N       20170101000880005000005000 0000000000001711   
0601GEA0N       20170101000885005000005000 0000000000001717   
0601GEA0N       20170101000890005000005000 0000000000001724   
0601GEA0N       20170101000895005000005000 0000000000001730   
0601GEA0N       20170101000900005000005000 0000000000001738   
0601GEA0N       20170101000905005000005000 0000000000001744   
0601GEA0N       20170101000910005000005000 0000000000001750   
0601GEA0N       20170101000915005000005000 0000000000001757   
0601GEA0N       20170101000920005000005000 0000000000001763   
0601GEA0N       20170101000925005000005000 0000000000001769   
0601GEA0N       20170101000930005000005000 0000000000001775   
0601GEA0N       20170101000935005000005000 0000000000001781   
0601GEA0N       20170101000940005000005000 0000000000001787   
0601GEA0N       20170101000945005000005000 0000000000001793   
0601GEA0N       20170101000950005000005000 0000000000001799   
0601GEA0N       20170101000955005000005000 0000000000001805   
0601GEA0N       20170101000960005000005000 0000000000001810   
0601GEA0N       20170101000965005000005000 0000000000001816   
0601GEA0N       20170101000970005000005000 0000000000001821   
0601GEA0N       20170101000975005000005000 0000000000001827   
0601GEA0N       20170101000980005000005000 0000000000001832   
0601GEA0N       20170101000985005000005000 0000000000001838   
0601GEA0N       20170101000990005000005000 0000000000001843   
0601GEA0N       20170101000995005000005000 0000000000001849   
0601GEA0N       20170101001000005000005000 0000000000001854   
0601GEA0N       20170101001005005000005000 0000000000001859   
0601GEA0N       20170101001010005000005000 0000000000001864   
0601GEA0N       20170101001015005000005000 0000000000001869   
0601GEA0N       20170101001020005000005000 0000000000001874   
0601GEA0N       20170101001025005000005000 0000000000001879   
0601GEA0N       20170101001030005000005000 0000000000001884   
0601GEA0N       20170101001035005000005000 0000000000001889   
0601GEA0N       20170101001040005000005000 0000000000001895   
0601GEA0N       20170101001045005000005000 0000000000001899   
0601GEA0N       20170101001050005000005000 0000000000001904   
0601GEA0N       20170101001055005000005000 0000000000001909   
0601GEA0N       20170101001060005000005000 0000000000001914   
0601GEA0N       20170101001065005000005000 0000000000001918   
0601GEA0N       20170101001070005000005000 0000000000001923   
0601GEA0N       20170101001075005000005000 0000000000001927   
0601GEA0N       20170101001080005000005000 0000000000001932   
0601GEA0N       20170101001085005000005000 0000000000001937   
0601GEA0N       20170101001090005000005000 0000000000001942   
0601GEA0N       20170101001095005000005000 0000000000001947   
0601GEA0N       20170101001100005000005000 0000000000001953   
0601GEA0N       20170101001105005000005000 0000000000001958   
0601GEA0N       20170101001110005000005000 0000000000001963   
0601GEA0N       20170101001115005000005000 0000000000001968   
0601GEA0N       20170101001120005000005000 0000000000001973   
0601GEA0N       20170101001125005000005000 0000000000001978   
0601GEA0N       20170101001130005000005000 0000000000001983   
0601GEA0N       20170101001135005000005000 0000000000001988   
0601GEA0N       20170101001140005000005000 0000000000001993   
0601GEA0N       20170101001145005000005000 0000000000001998   
0601GEA0N       20170101001150005000005000 0000000000002003   
0601GEA0N       20170101001155005000005000 0000000000002008   
0601GEA0N       20170101001160005000005000 0000000000002012   
0601GEA0N       20170101001165005000005000 0000000000002017   
0601GEA0N       20170101001170005000005000 0000000000002022   
0601GEA0N       20170101001175005000005000 0000000000002027   
0601GEA0N       20170101001180005000005000 0000000000002031   
0601GEA0N       20170101001185005000005000 0000000000002036   
0601GEA0N       20170101001190005000005000 0000000000002041   
0601GEA0N       20170101001195005000005000 0000000000002045   
0601GEA0N       20170101001200005000005000 0000000000002049   
0601GEA0N       20170101001205005000005000 0000000000002054   
0601GEA0N       20170101001210005000005000 0000000000002058   
0601GEA0N       20170101001215005000005000 0000000000002064   
0601GEA0N       20170101001220005000005000 0000000000002068   
0601GEA0N       20170101001225005000005000 0000000000002072   
0601GEA0N       20170101001230005000005000 0000000000002077   
0601GEA0N       20170101001235005000005000 0000000000002082   
0601GEA0N       20170101001240005000005000 0000000000002087   
0601GEA0N       20170101001245005000005000 0000000000002091   
0601GEA0N       20170101001250005000005000 0000000000002096   
0601GEA0N       20170101001255005000005000 0000000000002101   
0601GEA0N       20170101001260005000005000 0000000000002105   
0601GEA0N       20170101001265005000005000 0000000000002110   
0601GEA0N       20170101001270005000005000 0000000000002114   
0601GEA0N       20170101001275005000005000 0000000000002119   
0601GEA0N       20170101001280005000005000 0000000000002123   
0601GEA0N       20170101001285005000005000 0000000000002128   
0601GEA0N       20170101001290005000005000 0000000000002132   
0601GEA0N       20170101001295005000005000 0000000000002136   
0601GEA0N       20170101001300005000005000 0000000000002141   
0601GEA0N       20170101001305005000005000 0000000000002145   
0601GEA0N       20170101001310005000005000 0000000000002149   
0601GEA0N       20170101001315005000005000 0000000000002154   
0601GEA0N       20170101001320005000005000 0000000000002158   
0601GEA0N       20170101001325005000005000 0000000000002162   
0601GEA0N       20170101001330005000005000 0000000000002166   
0601GEA0N       20170101001335005000005000 0000000000002170   
0601GEA0N       20170101001340005000005000 0000000000002174   
0601GEA0N       20170101001345005000005000 0000000000002178   
0601GEA0N       20170101001350005000005000 0000000000002182   
0601GEA0N       20170101001355005000005000 0000000000002186   
0601GEA0N       20170101001360005000005000 0000000000002190   
0601GEA0N       20170101001365005000005000 0000000000002194   
0601GEA0N       20170101001370005000005000 0000000000002198   
0601GEA0N       20170101001375005000005000 0000000000002202   
0601GEA0N       20170101001380005000005000 0000000000002206   
0601GEA0N       20170101001385005000005000 0000000000002210   
0601GEA0N       20170101001390005000005000 0000000000002215   
0601GEA0N       20170101001395005000005000 0000000000002220   
0601GEA0N       20170101001400005000005000 0000000000002224   
0601GEA0N       20170101001405005000005000 0000000000002229   
0601GEA0N       20170101001410005000005000 0000000000002233   
0601GEA0N       20170101001415005000005000 0000000000002237   
0601GEA0N       20170101001420005000005000 0000000000002242   
0601GEA0N       20170101001425005000005000 0000000000002246   
0601GEA0N       20170101001430005000005000 0000000000002250   
0601GEA0N       20170101001435005000005000 0000000000002254   
0601GEA0N       20170101001440005000005000 0000000000002258   
0601GEA0N       20170101001445005000005000 0000000000002262   
0601GEA0N       20170101001450005000005000 0000000000002267   
0601GEA0N       20170101001455005000005000 0000000000002271   
0601GEA0N       20170101001460005000005000 0000000000002274   
0601GEA0N       20170101001465005000005000 0000000000002279   
0601GEA0N       20170101001470005000005000 0000000000002283   
0601GEA0N       20170101001475005000005000 0000000000002286   
0601GEA0N       20170101001480005000005000 0000000000002291   
0601GEA0N       20170101001485005000005000 0000000000002295   
0601GEA0N       20170101001490005000005000 0000000000002298   
0601GEA0N       20170101001495005000005000 0000000000002303   
0601GEA0N       20170101001500005000005000 0000000000002306   
0601GEA0N       20170101001505005000005000 0000000000002310   
0601GEA0N       20170101001510005000005000 0000000000002314   
0601GEA0N       20170101001515005000005000 0000000000002318   
0601GEA0N       20170101001520005000005000 0000000000002321   
0601GEA0N       20170101001525005000005000 0000000000002325   
0601GEA0N       20170101001530005000005000 0000000000002329   
0601GEA0N       20170101001535005000005000 0000000000002332   
0601GEA0N       20170101001540005000005000 0000000000002336   
0601GEA0N       20170101001545005000005000 0000000000002340   
0601GEA0N       20170101001550005000005000 0000000000002343   
0601GEA0N       20170101001555005000005000 0000000000002347   
0601GEA0N       20170101001560005000005000 0000000000002351   
0601GEA0N       20170101001565005000005000 0000000000002354   
0601GEA0N       20170101001570005000005000 0000000000002358   
0601GEA0N       20170101001575005000005000 0000000000002361   
0601GEA0N       20170101001580005000005000 0000000000002364   
0601GEA0N       20170101001585005000005000 0000000000002368   
0601GEA0N       20170101001590005000005000 0000000000002372   
0601GEA0N       20170101001595005000005000 0000000000002375   
0601GEA0N       20170101001600005000005000 0000000000002379   
0601GEA0N       20170101001605005000005000 0000000000002382   
0601GEA0N       20170101001610005000005000 0000000000002386   
0601GEA0N       20170101001615005000005000 0000000000002390   
0601GEA0N       20170101001620005000005000 0000000000002393   
0601GEA0N       20170101001625005000005000 0000000000002396   
0601GEA0N       20170101001630005000005000 0000000000002400   
0601GEA0N       20170101001635005000005000 0000000000002404   
0601GEA0N       20170101001640005000005000 0000000000002407   
0601GEA0N       20170101001645005000005000 0000000000002411   
0601GEA0N       20170101001650005000005000 0000000000002414   
0601GEA0N       20170101001655005000005000 0000000000002417   
0601GEA0N       20170101001660005000005000 0000000000002421   
