00AR               20131210                                                                                   
0601ARA0N       20140101000720100000005000 0000008590001189   
0601ARA0N       20140101000725100000005000 0000008700001196   
0601ARA0N       20140101000730100000005000 0000008790001200   
0601ARA0N       20140101000735100000005000 0000008880001204   
0601ARA0N       20140101000740100000005000 0000008970001208   
0601ARA0N       20140101000745100000005000 0000009070001213   
0601ARA0N       20140101000750100000005000 0000009180001220   
0601ARA0N       20140101000755100000005000 0000009270001224   
0601ARA0N       20140101000760100000005000 0000009360001228   
0601ARA0N       20140101000765100000005000 0000009460001233   
0601ARA0N       20140101000770100000005000 0000009570001239   
0601ARA0N       20140101000775100000005000 0000009670001244   
0601ARA0N       20140101000780100000005000 0000009780001250   
0601ARA0N       20140101000785100000005000 0000009890001256   
0601ARA0N       20140101000790100000005000 0000009990001261   
0601ARA0N       20140101000795100000005000 0000010120001269   
0601ARA0N       20140101000800100000005000 0000010230001275   
0601ARA0N       20140101000805100000005000 0000010330001279   
0601ARA0N       20140101000810100000005000 0000010450001286   
0601ARA0N       20140101000815100000005000 0000010550001291   
0601ARA0N       20140101000820100000005000 0000010680001298   
0601ARA0N       20140101000825100000005000 0000010780001303   
0601ARA0N       20140101000830100000005000 0000010890001308   
0601ARA0N       20140101000835100000005000 0000011000001313   
0601ARA0N       20140101000840100000005000 0000011130001321   
0601ARA0N       20140101000845100000005000 0000011240001326   
0601ARA0N       20140101000850100000005000 0000011350001331   
0601ARA0N       20140101000855100000005000 0000011460001336   
0601ARA0N       20140101000860100000005000 0000011570001341   
0601ARA0N       20140101000865100000005000 0000011700001349   
0601ARA0N       20140101000870100000005000 0000011800001352   
0601ARA0N       20140101000875100000005000 0000011910001357   
0601ARA0N       20140101000880100000005000 0000012020001362   
0601ARA0N       20140101000885100000005000 0000012150001369   
0601ARA0N       20140101000890100000005000 0000012250001373   
0601ARA0N       20140101000895100000005000 0000012360001377   
0601ARA0N       20140101000900100000005000 0000012470001382   
0601ARA0N       20140101000905100000005000 0000012580001386   
0601ARA0N       20140101000910100000005000 0000012710001393   
0601ARA0N       20140101000915100000005000 0000012820001397   
0601ARA0N       20140101000920100000005000 0000012930001402   
0601ARA0N       20140101000925100000005000 0000013040001406   
0601ARA0N       20140101000930100000005000 0000013150001410   
0601ARA0N       20140101000935100000005000 0000013280001417   
0601ARA0N       20140101000940100000005000 0000013390001421   
0601ARA0N       20140101000945100000005000 0000013500001425   
0601ARA0N       20140101000950100000005000 0000013610001429   
0601ARA0N       20140101000955100000005000 0000013740001435   
0601ARA0N       20140101000960100000005000 0000013850001439   
0601ARA0N       20140101000965100000005000 0000013950001442   
0601ARA0N       20140101000970100000005000 0000014070001447   
0601ARA0N       20140101000975100000005000 0000014180001451   
0601ARA0N       20140101000980100000005000 0000014300001455   
0601ARA0N       20140101000985100000005000 0000014410001459   
0601ARA0N       20140101000990100000005000 0000014520001463   
0601ARA0N       20140101000995100000005000 0000014630001467   
0601ARA0N       20140101001000100000005000 0000014760001472   
0601ARA0N       20140101001005100000005000 0000014870001476   
0601ARA0N       20140101001010100000005000 0000014980001480   
0601ARA0N       20140101001015100000005000 0000015100001484   
0601ARA0N       20140101001020100000005000 0000015200001487   
0601ARA0N       20140101001025100000005000 0000015330001492   
0601ARA0N       20140101001030100000005000 0000015440001495   
0601ARA0N       20140101001035100000005000 0000015550001499   
0601ARA0N       20140101001040100000005000 0000015660001502   
0601ARA0N       20140101001045100000005000 0000015770001505   
0601ARA0N       20140101001050100000005000 0000015900001511   
0601ARA0N       20140101001055100000005000 0000016010001514   
0601ARA0N       20140101001060100000005000 0000016120001517   
