00AG               20161121                                                                                   
0601AGA0N       20170101000630100000005000 0000006000000950   
0601AGA0N       20170101000635100000005000 0000006120000960   
0601AGA0N       20170101000640100000005000 0000006160000960   
0601AGA0N       20170101000645100000005000 0000006280000970   
0601AGA0N       20170101000650100000005000 0000006390000980   
0601AGA0N       20170101000655100000005000 0000006440000980   
0601AGA0N       20170101000660100000005000 0000006550000990   
0601AGA0N       20170101000665100000005000 0000006670001000   
0601AGA0N       20170101000670100000005000 0000006720001000   
0601AGA0N       20170101000675100000005000 0000006840001010   
0601AGA0N       20170101000680100000005000 0000006960001020   
0601AGA0N       20170101000685100000005000 0000007080001030   
0601AGA0N       20170101000690100000005000 0000007130001030   
0601AGA0N       20170101000695100000005000 0000007250001040   
0601AGA0N       20170101000700100000005000 0000007370001050   
0601AGA0N       20170101000705100000005000 0000007420001050   
0601AGA0N       20170101000710100000005000 0000007550001060   
0601AGA0N       20170101000715100000005000 0000007600001060   
0601AGA0N       20170101000720100000005000 0000007730001070   
0601AGA0N       20170101000725100000005000 0000007850001080   
0601AGA0N       20170101000730100000005000 0000007910001080   
0601AGA0N       20170101000735100000005000 0000008030001090   
0601AGA0N       20170101000740100000005000 0000008090001090   
0601AGA0N       20170101000745100000005000 0000008220001100   
0601AGA0N       20170101000750100000005000 0000008270001100   
0601AGA0N       20170101000755100000005000 0000008400001110   
0601AGA0N       20170101000760100000005000 0000008460001110   
0601AGA0N       20170101000765100000005000 0000008590001120   
0601AGA0N       20170101000770100000005000 0000008720001130   
0601AGA0N       20170101000775100000005000 0000008780001130   
0601AGA0N       20170101000780100000005000 0000008920001140   
0601AGA0N       20170101000785100000005000 0000009050001150   
0601AGA0N       20170101000790100000005000 0000009190001160   
0601AGA0N       20170101000795100000005000 0000009250001160   
0601AGA0N       20170101000800100000005000 0000009380001170   
0601AGA0N       20170101000805100000005000 0000009520001180   
0601AGA0N       20170101000810100000005000 0000009580001180   
0601AGA0N       20170101000815100000005000 0000009720001190   
0601AGA0N       20170101000820100000005000 0000009870001200   
0601AGA0N       20170101000825100000005000 0000009930001200   
0601AGA0N       20170101000830100000005000 0000010070001210   
0601AGA0N       20170101000835100000005000 0000010210001220   
0601AGA0N       20170101000840100000005000 0000010270001220   
0601AGA0N       20170101000845100000005000 0000010420001230   
0601AGA0N       20170101000850100000005000 0000010570001240   
0601AGA0N       20170101000855100000005000 0000010630001240   
0601AGA0N       20170101000860100000005000 0000010780001250   
0601AGA0N       20170101000865100000005000 0000010930001260   
0601AGA0N       20170101000870100000005000 0000010990001260   
0601AGA0N       20170101000875100000005000 0000011140001270   
0601AGA0N       20170101000880100000005000 0000011200001270   
0601AGA0N       20170101000885100000005000 0000011360001280   
0601AGA0N       20170101000890100000005000 0000011510001290   
0601AGA0N       20170101000895100000005000 0000011570001290   
0601AGA0N       20170101000900100000005000 0000011730001300   
0601AGA0N       20170101000905100000005000 0000011790001300   
0601AGA0N       20170101000910100000005000 0000011950001310   
0601AGA0N       20170101000915100000005000 0000012010001310   
0601AGA0N       20170101000920100000005000 0000012170001320   
0601AGA0N       20170101000925100000005000 0000012330001330   
0601AGA0N       20170101000930100000005000 0000012400001330   
0601AGA0N       20170101000935100000005000 0000012560001340   
0601AGA0N       20170101000940100000005000 0000012620001340   
0601AGA0N       20170101000945100000005000 0000012790001350   
0601AGA0N       20170101000950100000005000 0000012850001350   
0601AGA0N       20170101000955100000005000 0000013020001360   
0601AGA0N       20170101000960100000005000 0000013090001360   
0601AGA0N       20170101000965100000005000 0000013250001370   
0601AGA0N       20170101000970100000005000 0000013320001370   
0601AGA0N       20170101000975100000005000 0000013480001380   
0601AGA0N       20170101000980100000005000 0000013550001380   
0601AGA0N       20170101000985100000005000 0000013720001390   
0601AGA0N       20170101000990100000005000 0000013790001390   
0601AGA0N       20170101000995100000005000 0000013960001400   
0601AGA0N       20170101001000100000050000 0000000000001420   
0601AGA0N       20170101001050100000050000 0000000000001460   
0601AGA0N       20170101001100100000050000 0000000000001510   
0601AGA0N       20170101001150100000050000 0000000000001560   
0601AGA0N       20170101001200100000050000 0000000000001610   
0601AGA0N       20170101001250100000050000 0000000000001650   
0601AGA0N       20170101001300100000050000 0000000000001690   
0601AGA0N       20170101001350100000050000 0000000000001730   
0601AGA0N       20170101001400100000050000 0000000000001770   
0601AGA0N       20170101001450100000050000 0000000000001800   
0601AGA0N       20170101001500100000050000 0000000000001840   
0601AGA0N       20170101001550100000050000 0000000000001870   
0601AGA0N       20170101001600100000050000 0000000000001900   
0601AGA0N       20170101001650100000050000 0000000000001930   
0601AGA0N       20170101001700100000050000 0000000000001960   
0601AGA0N       20170101001750100000050000 0000000000001990   
0601AGA0N       20170101001800100000050000 0000000000002030   
0601AGA0N       20170101001850100000050000 0000000000002060   
0601AGA0N       20170101001900100000050000 0000000000002080   
0601AGA0N       20170101001950100000050000 0000000000002110   
0601AGA0N       20170101002000100000050000 0000000000002140   
0601AGA0N       20170101002050100000050000 0000000000002160   
0601AGA0N       20170101002100100000050000 0000000000002190   
0601AGA0N       20170101002150100000050000 0000000000002210   
0601AGA0N       20170101002200100000050000 0000000000002230   
0601AGA0N       20170101002250100000050000 0000000000002250   
0601AGA0N       20170101002300100000050000 0000000000002270   
0601AGA0N       20170101002350100000050000 0000000000002290   
0601AGA0N       20170101002400100000050000 0000000000002310   
0601AGA0N       20170101002450100000050000 0000000000002330   
0601AGA0N       20170101002500100000050000 0000000000002340   
0601AGA0N       20170101002550100000050000 0000000000002360   
0601AGA0N       20170101002600100000050000 0000000000002370   
0601AGA0N       20170101002650100000050000 0000000000002390   
0601AGA0N       20170101002700100000050000 0000000000002400   
0601AGA0N       20170101002750100000050000 0000000000002420   
0601AGA0N       20170101002800100000050000 0000000000002430   
